iter	Passed	Remaining
812	11322	2604
813	11334	2589
814	11349	2576
815	11362	2562
816	11378	2548
817	11392	2534
818	11410	2521
819	11425	2508
820	11437	2493
821	11451	2479
822	11465	2465
823	11477	2451
824	11491	2437
825	11504	2423
826	11515	2408
827	11527	2394
828	11538	2380
829	11552	2366
830	11564	2351
831	11576	2337
832	11590	2323
833	11604	2309
834	11617	2295
835	11628	2281
836	11641	2267
837	11655	2253
838	11665	2238
839	11677	2224
840	11691	2210
841	11703	2196
842	11716	2182
843	11728	2167
844	11741	2153
845	11755	2139
846	11766	2125
847	11778	2111
848	11792	2097
849	11803	2082
850	11816	2069
851	11833	2055
852	11848	2041
853	11863	2028
854	11879	2014
855	11894	2000
856	11907	1986
857	11922	1973
858	11935	1959
859	11948	1945
860	11960	1930
861	11972	1916
862	11985	1902
863	11999	1888
864	12012	1874
865	12024	1860
866	12037	1846
867	12051	1832
868	12062	1818
869	12076	1804
870	12088	1790
871	12101	1776
872	12113	1762
873	12125	1748
874	12139	1734
875	12152	1720
876	12163	1705
877	12177	1692
878	12189	1678
879	12201	1663
880	12219	1650
881	12234	1636
882	12248	1622
883	12259	1608
884	12271	1594
885	12285	1580
886	12297	1566
887	12309	1552
888	12323	1538
889	12337	1524
890	12351	1510
891	12367	1497
892	12382	1483
893	12394	1469
894	12407	1455
895	12420	1441
896	12434	1427
897	12446	1413
898	12459	1399
899	12473	1385
900	12484	1371
901	12496	1357
902	12507	1343
903	12522	1329
904	12535	1315
905	12545	1301
906	12557	1287
907	12571	1273
908	12582	1259
909	12594	1245
910	12605	1231
911	12626	1218
912	12637	1204
913	12649	1190
914	12663	1176
915	12675	1162
916	12685	1148
917	12698	1134
918	12710	1120
919	12723	1106
920	12736	1092
921	12749	1078
922	12763	1064
923	12775	1050
924	12785	1036
925	12797	1022
926	12810	1008
927	12823	994
928	12835	980
929	12849	967
930	12867	953
931	12880	939
932	12892	925
933	12906	912
934	12922	898
935	12933	884
936	12948	870
937	12962	856
938	12974	842
939	12987	829
940	13000	815
941	13020	801
942	13033	787
943	13045	773
944	13059	760
945	13070	746
946	13082	732
947	13093	718
948	13105	704
949	13118	690
950	13129	676
951	13141	662
952	13154	648
953	13168	634
954	13181	621
955	13192	607
956	13207	593
957	13220	579
958	13230	565
959	13242	551
960	13254	537
961	13269	524
962	13282	510
963	13293	496
964	13306	482
965	13318	468
966	13331	454
967	13345	441
968	13359	427
969	13372	413
970	13384	399
971	13397	385
972	13411	372
973	13430	358
974	13446	344
975	13461	331
976	13476	317
977	13488	303
978	13500	289
979	13513	275
980	13523	261
981	13536	248
982	13549	234
983	13560	220
984	13578	206
985	13590	192
986	13604	179
987	13615	165
988	13625	151
989	13642	137
990	13654	124
991	13668	110
992	13681	96
993	13695	82
994	13707	68
995	13719	55
996	13733	41
997	13744	27
998	13755	13
999	13768	0
